iter	Passed	Remaining
0	56	56784
1	79	39852
2	102	34062
3	121	30173
4	131	26232
5	141	23368
6	151	21470
7	160	19938
8	170	18762
9	180	17896
10	190	17110
11	200	16471
12	209	15906
13	219	15441
14	229	15048
15	238	14664
16	248	14375
17	257	14068
18	267	13836
19	278	13645
20	287	13416
21	298	13249
22	307	13055
23	317	12914
24	327	12787
25	337	12639
26	347	12516
27	356	12380
28	367	12292
29	378	12245
30	389	12168
31	398	12064
32	408	11982
33	418	11889
34	427	11791
35	437	11707
36	446	11622
37	456	11544
38	465	11482
39	476	11435
40	485	11363
41	495	11308
42	505	11240
43	515	11206
44	526	11167
45	535	11106
46	545	11053
47	553	10987
48	564	10950
49	574	10919
50	583	10863
51	593	10825
52	602	10773
53	613	10739
54	623	10716
55	633	10671
56	643	10641
57	652	10598
58	662	10560
59	671	10527
60	681	10486
61	690	10453
62	700	10419
63	710	10390
64	720	10369
65	730	10332
66	740	10306
67	749	10268
68	758	10236
69	768	10210
70	779	10195
71	789	10181
72	799	10147
73	811	10156
74	822	10138
75	831	10105
76	841	10085
77	851	10069
78	861	10042
79	871	10019
80	880	9988
81	890	9969
82	900	9950
83	909	9921
84	921	9915
85	930	9884
86	939	9862
87	949	9841
88	959	9823
89	969	9800
90	978	9773
91	987	9748
92	998	9733
93	1007	9713
94	1017	9692
95	1026	9668
96	1036	9645
97	1045	9621
98	1055	9603
99	1066	9597
100	1075	9573
101	1085	9554
102	1094	9533
103	1104	9516
104	1115	9505
105	1124	9484
106	1134	9468
107	1143	9447
108	1153	9429
109	1163	9416
110	1173	9400
111	1185	9398
112	1196	9389
113	1205	9370
114	1215	9351
115	1224	9331
116	1234	9316
117	1244	9304
118	1254	9284
119	1264	9270
120	1273	9250
121	1282	9233
122	1292	9214
123	1302	9199
124	1312	9185
125	1322	9175
126	1332	9158
127	1341	9141
128	1351	9125
129	1362	9115
130	1371	9097
131	1381	9083
132	1391	9071
133	1400	9053
134	1411	9042
135	1420	9024
136	1430	9009
137	1440	8995
138	1449	8980
139	1458	8961
140	1468	8945
141	1477	8928
142	1487	8913
143	1497	8901
